row_id,datatype_value
263,CACP_HUMAN
264,CAN3_HUMAN
265,CASR_HUMAN
266,CASS4_HUMAN
267,CATC_HUMAN
268,CBSL_HUMAN
269,CBS_HUMAN
270,CDAN1_HUMAN
271,CERU_HUMAN
272,CGL_HUMAN
273,CHKB_HUMAN
274,CHSTE_HUMAN
275,CLCKB_HUMAN
276,CLN3_HUMAN
277,CLN6_HUMAN
278,CLPP_HUMAN
279,CMC2_HUMAN
280,CO3A1_HUMAN
281,CO5A1_HUMAN
282,CO5A2_HUMAN
283,COG1_HUMAN
284,COG4_HUMAN
285,COG5_HUMAN
286,COG7_HUMAN
287,COG8_HUMAN
288,COQ8A_HUMAN
289,COX1_HUMAN
290,COX3_HUMAN
291,CP17A_HUMAN
292,CP21A_HUMAN
293,CP27A_HUMAN
294,CPSM_HUMAN
295,CPT1A_HUMAN
296,CPT1B_HUMAN
297,CPT2_HUMAN
298,CTNS_HUMAN
299,CUBN_HUMAN
300,CYB_HUMAN
301,D2HDH_HUMAN
302,D6W5I0_HUMAN
303,D9HTE9_HUMAN
304,DAG1_HUMAN
305,DCMC_HUMAN
306,DCUP_HUMAN
307,DCXR_HUMAN
308,DDC_HUMAN
309,DGUOK_HUMAN
310,DHB3_HUMAN
311,DHB4_HUMAN
312,DHC24_HUMAN
313,DHCR7_HUMAN
314,DHE3_HUMAN
315,DHPR_HUMAN
316,DLDH_HUMAN
317,DLL3_HUMAN
318,DNA2_HUMAN
319,DNJC5_HUMAN
320,DOLK_HUMAN
321,DOPO_HUMAN
322,DPM1_HUMAN
323,DPM2_HUMAN
324,DPM3_HUMAN
325,DPOG1_HUMAN
326,DPOG2_HUMAN
327,DPYD_HUMAN
328,DPYS_HUMAN
329,DSE_HUMAN
330,DYR_HUMAN
331,DYSF_HUMAN
332,E5KLJ9_HUMAN
333,E5KLK0_HUMAN
334,E5KN15_HUMAN
335,E5KNU5_HUMAN
336,E5KNY5_HUMAN
337,E5KS15_HUMAN
338,E5KS60_HUMAN
339,E5KSL5_HUMAN
340,E5KSL6_HUMAN
341,E5KSY5_HUMAN
342,E7EM53_HUMAN
343,E9KL23_HUMAN
344,E9KL44_HUMAN
345,E9KL48_HUMAN
346,E9PBP6_HUMAN
347,E9PEX6_HUMAN
348,E9PLD1_HUMAN
349,EAA3_HUMAN
350,ECHA_HUMAN
351,ECM1_HUMAN
352,ENOB_HUMAN
353,ERAL1_HUMAN
354,ETFA_HUMAN
355,ETFB_HUMAN
356,ETFD_HUMAN
357,ETHE1_HUMAN
358,EXC6B_HUMAN
359,F16P1_HUMAN
360,F5GWI4_HUMAN
361,F5GX71_HUMAN
362,F5H8H2_HUMAN
363,F8W7W8_HUMAN
364,FA2H_HUMAN
365,FANCM_HUMAN
366,FKRP_HUMAN
367,FKTN_HUMAN
368,FOLR1_HUMAN
369,FRDA_HUMAN
370,FTCD_HUMAN
371,FUCO_HUMAN
372,FUCT1_HUMAN
373,FUMH_HUMAN
374,G3V1K2_HUMAN
375,G6PT1_HUMAN
376,GABT_HUMAN
377,GALK1_HUMAN
378,GAMT_HUMAN
379,GATA1_HUMAN
380,GATM_HUMAN
381,GCDH_HUMAN
382,GCH1_HUMAN
383,GDE_HUMAN
384,GGT1_HUMAN
385,GLCM_HUMAN
386,GLCNE_HUMAN
387,GLCTK_HUMAN
388,GLGB_HUMAN
389,GLNA_HUMAN
390,GLPK_HUMAN
391,GNA11_HUMAN
392,GNMT_HUMAN
393,GNPTA_HUMAN
394,GSHB_HUMAN
395,GTR1_HUMAN
396,GTR2_HUMAN
397,GYS2_HUMAN
398,H3BPB8_HUMAN
399,H3BPP3_HUMAN
400,H9EC08_HUMAN
401,HCD2_HUMAN
402,HCDH_HUMAN
403,HEM3_HUMAN
404,HEM4_HUMAN
405,HEMH_HUMAN
406,HEPC_HUMAN
407,HES7_HUMAN
408,HFE_HUMAN
409,HGD_HUMAN
410,HMGCL_HUMAN
411,HPPD_HUMAN
412,HPRT_HUMAN
413,HXK4_HUMAN
414,I3L4A9_HUMAN
415,I4AY87_HUMAN
416,IDUA_HUMAN
417,IF_HUMAN
418,IGF1_HUMAN
419,IVD_HUMAN
420,J3KNI1_HUMAN
421,J3QRP0_HUMAN
422,J3QSS1_HUMAN
423,K2C5_HUMAN
424,KCNJ1_HUMAN
425,KIF22_HUMAN
426,KIME_HUMAN
427,KITM_HUMAN
428,KPB1_HUMAN
429,KPB2_HUMAN
430,KPBB_HUMAN
431,KYNU_HUMAN
432,L2HDH_HUMAN
433,LARG1_HUMAN
434,LBR_HUMAN
435,LCAT_HUMAN
436,LDHA_HUMAN
437,LDHB_HUMAN
438,LFNG_HUMAN
439,LIAS_HUMAN
440,LICH_HUMAN
441,LIPC_HUMAN
442,LMF1_HUMAN
443,LMNA_HUMAN
444,LPIN1_HUMAN
445,LPPRC_HUMAN
446,M0QYZ2_HUMAN
447,M0R0N4_HUMAN
448,MA1B1_HUMAN
449,MA2B1_HUMAN
450,MAGD2_HUMAN
451,MANBA_HUMAN
452,MCAT_HUMAN
453,MCCA_HUMAN
454,MCCB_HUMAN
455,MESP2_HUMAN
456,METH_HUMAN
457,METK1_HUMAN
458,MIF_HUMAN
459,MMAC_HUMAN
460,MMAD_HUMAN
461,MMSA_HUMAN
462,MPI_HUMAN
463,MRP2_HUMAN
464,MRP6_HUMAN
465,MT3_HUMAN
466,MTHR_HUMAN
467,MTP_HUMAN
468,MTRR_HUMAN
469,MYH2_HUMAN
470,NAGAB_HUMAN
471,NEU2_HUMAN
472,NPC1_HUMAN
473,NPC2_HUMAN
474,NSDHL_HUMAN
475,NU1M_HUMAN
476,NU4LM_HUMAN
477,NU4M_HUMAN
478,NU5M_HUMAN
479,NU6M_HUMAN
480,O95680_HUMAN
481,O95681_HUMAN
482,OAT_HUMAN
483,OCRL_HUMAN
484,ODB2_HUMAN
485,ODBA_HUMAN
486,ODBB_HUMAN
487,OPA1_HUMAN
488,P78428_HUMAN
489,PCD15_HUMAN
490,PEO1_HUMAN
491,PFKAM_HUMAN
492,PGAM2_HUMAN
493,PGK1_HUMAN
494,PGLT1_HUMAN
495,PGM1_HUMAN
496,PH4H_HUMAN
497,PHKG2_HUMAN
498,PHS_HUMAN
499,PIGA_HUMAN
500,PIGM_HUMAN
501,PIGN_HUMAN
502,PIGT_HUMAN
503,PLPL9_HUMAN
504,PMGT1_HUMAN
505,PMGT2_HUMAN
506,PNPO_HUMAN
507,POMT1_HUMAN
508,POMT2_HUMAN
509,PORED_HUMAN
510,PPBT_HUMAN
511,PPGB_HUMAN
512,PPT1_HUMAN
513,PROD_HUMAN
514,PRPS1_HUMAN
515,PYGL_HUMAN
516,PYGM_HUMAN
517,Q06AH7_HUMAN
518,Q08AG9_HUMAN
519,Q0ZFD6_HUMAN
520,Q13429_HUMAN
521,Q16874_HUMAN
522,Q1HB44_HUMAN
